asset_id,ifc_class,name,canonical_class,class_confidence,flags,primary_flag,true_class,review_status,reviewer_notes,review_timestamp
77fa3c38-64c0-5c40-bb6b-061c923f2a3c,IfcAirTerminal,M_Supply Diffuser - Rectangular Face Round Neck:600x600 - 250 Neck:490457,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
ff9ba958-fce3-5fd5-90f7-31393c30f000,IfcLightFixture,M_Pendant Light - Disk:100W - 277V:444685,Lighting Fixture,0.9,,,,PENDING,,
3fd59c4e-58c9-5e52-a8e6-f2bc9b000565,IfcPipeSegment,Pipe Types:Standard:530227,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
2286429d-e87e-5f78-a705-54b5b637d178,IfcAirTerminal,M_Return Diffuser:600 x 600 Face 300 x 300 Connection:509511,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
573e075a-2da0-5263-9850-6674401cfce5,IfcWall,Basic Wall:CL_W1:493697,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
3b295237-399d-5d79-877c-2eaa8621e68c,IfcWall,Basic Wall:Retaining - 300mm Concrete:746589,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
23cff000-9877-5e78-86d0-bf509ea4a6fb,IfcDoor,Drehflügel 1-flg - Stahlzarge:88.5 x 2.26:573747,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
a3d792a7-2017-5162-94d0-e7f82d585a6f,IfcAirTerminal,M_Return Diffuser:600 x 600 Face 300 x 300 Connection:431111,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
e410e77f-61c1-5d60-bdda-9aefa66100b7,IfcPipeSegment,Pipe Types:Standard:528148,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
414f99a2-2c8f-59b9-8720-71dca9d67a54,IfcWall,Basic Wall:Interior - 165 Partition (1-hr):424922,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
b0d1863e-485b-5284-9412-e6e16cbb0d60,IfcStair,Stair:Massiv - Stufen Naturstein:576198,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
7221cebb-4383-59ee-9037-bd89d008d884,IfcPipeSegment,Pipe Types:Standard:529157,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
